ModSelect,A_concern_y,B_concern_y,A_concern_o,B_concern_o,lA_ex,lB_ex,l_conc,l_conc_o,l_inf,l_inf_o,l_hea,l_hea_o,stvT,dstvT
1,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,1,0.25
2,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,2,0.25
3,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,5,0.25
4,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,1,0.25
5,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,2,0.25
6,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,5,0.25
13,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,1,0.75
14,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,2,0.75
15,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,5,0.75
16,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,1,0.75
17,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,2,0.75
18,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,5,0.75
19,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,1,1
20,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,2,1
21,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,5,1
22,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,1,1
23,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,2,1
24,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,5,1
25,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,1,1.25
26,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,2,1.25
27,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,5,1.25
28,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,1,1.25
29,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,2,1.25
30,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,5,1.25
31,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,1,1.75
32,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,2,1.75
33,0.1,0.1,0,0,0,-0.25,0.1,0,0.1,0,-0.25,0,5,1.75
34,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,1,1.75
35,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,2,1.75
36,0.1,0.1,0,0,-0.25,0,0.1,0,0.1,0,-0.25,0,5,1.75
